1	我們試試看！	413789	Let's try it.
1	我們試試看！	414905	Let's have a try.
1	我們試試看！	1039389	Let's give it a try.
1	我們試試看！	1176908	Let's try!
2	我该去睡觉了。	1277	I have to go to sleep.
2	我该去睡觉了。	1395	I have to go to bed.
3	你在干什麼啊？	16492	What are you doing?
4	這是什麼啊？	392210	What is this?
4	這是什麼啊？	413821	What's this?
5	今天是６月１８号，也是Muiriel的生日！	1280	Today is June 18th and it is Muiriel's birthday!
5	今天是６月１８号，也是Muiriel的生日！	437968	It's 18th June today, and also Muiriel's birthday!
6	生日快乐，Muiriel！	355041	Happy birthday, Muiriel!
7	Muiriel现在20岁了。	1282	Muiriel is 20 now.
7	Muiriel现在20岁了。	1415809	Muiriel has turned twenty.
8	密码是"Muiriel"。	1283	The password is "Muiriel".
9	我很快就會回來。	1284	I will be back soon.
9	我很快就會回來。	1009347	I'll return immediately.
10	我不知道。	273786	I have no idea.
10	我不知道。	349064	I don't know.
11	我不知道應該說什麼才好。	1286	I'm at a loss for words.
12	這個永遠完不了了。	1287	This is never going to end.
13	我只是不知道應該說什麼而已……	1288	I just don't know what to say.
14	那是一隻有惡意的兔子。	1289	That was an evil bunny.
14	那是一隻有惡意的兔子。	3103840	That has been an evil rabbit.
15	我以前在山里。	1290	I was in the mountains.
16	那是一张近照吗？	1291	Is it a recent picture?
17	我不知道我有沒有時間。	1292	I don't know if I have the time.
17	我不知道我有沒有時間。	2357185	I don't know whether I have time or not.
18	剛才我的麥克風沒起作用，不知道為什麼。	328546	For some reason the microphone didn't work earlier.
19	到了最後，大家一定要靠自己學習。	328580	Everyone must learn on their own in the end.
20	世界上的教育都讓我失望。	1294	Education in this world disappoints me.
21	选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。	328920	It is a difficult task, choosing what is "right" or "wrong", but you have to do it.
22	這樣做的話什麼都不會改變的。	24801	That won't change anything.
23	這個要三十歐元。	1298	This will cost €30.
24	我一天賺一百歐元。	1299	I make €100 a day.
25	也许我会马上放弃然后去打盹。	1300	I may give up soon and just nap instead.
26	那是不會發生的。	1302	That won't happen.
28	不要擔心。	506446	Don't worry.
29	我很想你。	1308	I miss you.
30	我明天回來的時候會跟他們聯絡。	1309	I'll call them tomorrow when I come back.
31	我一直都比較喜歡神秘一點的人物。	1310	I always liked mysterious characters more.
32	你應該去睡覺了吧。	1311	You should sleep.
33	我要走了。	1312	I'm going to go.
34	我請他們再寄給我一張票。	1313	I told them to send me another ticket.
35	我不能这样活着。	1315	I can't live that kind of life.
36	我曾經想過當個太空物理學家。	1316	I once wanted to be an astrophysicist.
37	我從來沒喜歡過生物學。	1317	I never liked biology.
38	可惜这是真的。	1320	It is unfortunately true.
39	大部份的人覺得我瘋了。	1322	Most people think I'm crazy.
40	不，我不是！你才是！	1323	No I'm not; you are!
41	那是我該說的話!	1324	That's MY line!
42	他在踢我！	1325	He's kicking me!
43	你肯定吗？	1326	Are you sure?
44	那就表示有問題...	1327	Then there is a problem...
45	哦！有一隻蝴蝶！	1328	Oh, there's a butterfly!
46	趕快!	1329	Hurry up.
47	如果我可以像那樣的話...	413822	If I could be like that...
48	你是在跟我開玩笑吧？！	1334	Are you freaking kidding me?!
49	我長大後想當國王。	1337	When I grow up, I want to be a king.
50	我好胖哦。	1339	I'm so fat.
51	那又怎樣?	1340	So what?
53	那是因為妳是女生。	1348	That's because you're a girl.
54	我会不高兴，但我不会自杀。	1359	I'd be unhappy, but I wouldn't kill myself.
55	以前讀高中的時候﹐我每天早上六點起床。	1360	Back in high school, I got up at 6 a.m. every morning.
56	你問這個幹什麼?	1368	Why do you ask?
57	你待了多久?	1373	How long did you stay?
58	我不知道它是从哪里来的。	1383	I didn't know where it came from.
59	這個不重要。	1385	This is not important.
59	這個不重要。	2322	It's not important.
60	哪裡有問題?	1431	Where is the problem?
60	哪裡有問題?	416891	What is the problem?
61	不要再把我当成“正常” 人!	1498	Stop seeing me as a "normal" person!
62	所有被发明的都是真的。	1633	All that which is invented, is true.
63	感到惊讶、感到惊奇就是明白的开始。	1634	To be surprised, to wonder, is to begin to understand.
64	宇宙毫无疑问是无限的。	413823	There's no doubt that the universe is infinite.
64	宇宙毫无疑问是无限的。	414845	There's no doubt: the universe is infinite.
